GeoFips;GeoName;LineCode;Description;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
11100;Amarillo, TX (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);10295849;10486434;10645413;10773569;10841041;11341189;11672173;11791519;11759683;12234156;12342819;12277893;12602661;12937778;13389635;13198310;13044032;13439341;13785723;13850704;14398438;14399408;14958128
11100;Amarillo, TX (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;78.931;80.393;81.611;82.594;83.111;86.945;89.483;90.398;90.154;93.791;94.624;94.127;96.616;99.185;102.650;101.183;100.000;103.031;105.686;106.184;110.383;110.391;114.674
11100;Amarillo, TX (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);7225654;7427462;7811029;8184656;8604912;9300360;9900723;10364434;10320976;10924040;11397195;11571638;12125923;12660264;13092596;13000018;13044032;13721125;14377102;14757190;16137522;17475111;18913682
11180;Ames, IA (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);4359482;4533576;4769864;4961875;5085953;5200779;5318320;5492371;5413074;5479890;5664146;5827954;6189154;6346832;6378329;6262087;6445208;6563479;6650160;6490136;6930649;6967531;6953270
11180;Ames, IA (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;67.639;70.340;74.006;76.985;78.911;80.692;82.516;85.216;83.986;85.023;87.882;90.423;96.027;98.474;98.962;97.159;100.000;101.835;103.180;100.697;107.532;108.104;107.883
11180;Ames, IA (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);3056225;3241757;3478367;3728817;3908410;4117763;4365260;4612809;4668033;4769948;5038109;5314591;5776280;6032207;6195773;6166603;6445208;6701531;6935487;6949341;7709051;8274669;8615031
11260;Anchorage, AK (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);19053102;19357657;19850836;20362976;21252031;21155379;21554691;22610111;23681696;24770880;25040377;25192794;24774167;24860067;25917694;26237799;25842697;26029809;25958441;25275142;25922394;26293784;27263177
11260;Anchorage, AK (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;73.727;74.906;76.814;78.796;82.236;81.862;83.407;87.491;91.638;95.853;96.895;97.485;95.865;96.198;100.290;101.529;100.000;100.724;100.448;97.804;100.308;101.746;105.497
11260;Anchorage, AK (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);13498339;14013862;14812069;15657594;16917113;17475881;18385332;19771444;20744210;22174690;22852724;23400011;23521010;24069105;25096824;25726818;25842697;26668168;27247439;26821382;29069153;31733418;34065381
11460;Ann Arbor, MI (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);20219451;21482093;22014574;21824770;22442798;22301301;22809961;21421454;19816179;20560188;20745966;21349212;21589894;21956483;22761254;23269214;24040003;24649772;25636942;24986674;26296924;26969477;27760301
11460;Ann Arbor, MI (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;84.108;89.360;91.575;90.785;93.356;92.767;94.883;89.108;82.430;85.525;86.298;88.807;89.808;91.333;94.681;96.794;100.000;102.536;106.643;103.938;109.388;112.186;115.475
11460;Ann Arbor, MI (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);15451396;16632716;17222094;17356948;18149428;18366116;19218394;18271656;17547818;18248813;18600200;19565911;20159243;20872596;22203082;22988134;24040003;25061817;26602782;26576769;28655021;30788836;33013856
11500;Anniston-Oxford, AL (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);3738470;3845020;3998886;4325523;4567037;4568102;4698563;4766737;4506202;4705487;4460812;4463867;4347654;4186770;4145820;4201651;4244400;4342966;4566934;4454207;4704903;4593362;4764871
11500;Anniston-Oxford, AL (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;88.080;90.590;94.216;101.911;107.601;107.627;110.700;112.307;106.168;110.863;105.099;105.171;102.433;98.642;97.677;98.993;100.000;102.322;107.599;104.943;110.850;108.222;112.263
11500;Anniston-Oxford, AL (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);2755806;2890197;3056854;3399881;3686250;3805029;4016948;4148936;4008664;4227746;4071263;4135517;4073416;4008257;4032124;4124669;4244400;4456595;4764311;4718287;5235064;5453593;5891059
11540;Appleton, WI (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);10225354;10252669;10589836;10929690;11187815;11411926;11517506;11375752;10986695;11260901;11628002;12099383;12006075;12517201;13163364;13548679;13810008;14241692;14559468;13899096;14304265;14458872;14587128
11540;Appleton, WI (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;74.043;74.241;76.682;79.143;81.012;82.635;83.400;82.373;79.556;81.542;84.200;87.613;86.937;90.639;95.318;98.108;100.000;103.126;105.427;100.645;103.579;104.699;105.627
11540;Appleton, WI (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);7566665;7722290;8050566;8503246;8937260;9422160;9773185;9820996;9804196;10080148;10552844;11211569;11329384;12007888;12866699;13392403;13810008;14503217;15191240;14832282;15842963;17290266;18532326
11700;Asheville, NC (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);14454305;14887462;15210221;15704099;16239128;16790977;16532150;16766765;16070117;16827135;17061801;16822011;17313244;17977568;18318327;18957843;19857995;20527515;21327114;20197261;21585685;22341153;23014243
11700;Asheville, NC (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;72.788;74.970;76.595;79.082;81.776;84.555;83.252;84.433;80.925;84.737;85.919;84.712;87.185;90.531;92.247;95.467;100.000;103.372;107.398;101.708;108.700;112.505;115.894
11700;Asheville, NC (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);10495814;11022516;11427323;12050312;12793222;13645479;13814022;14241939;14070050;14771412;15169984;15307712;16037392;16973009;17742001;18685779;19857995;20965941;22329755;21637718;23956488;26549050;29014297
12020;Athens-Clarke County, GA (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);7212649;7282235;7646266;7872090;8009521;8032551;8163681;8192675;8164635;8171038;8120618;8495200;8649397;8859145;9236868;9437802;9980018;10330759;10262828;9820806;10381004;10844316;11009814
12020;Athens-Clarke County, GA (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;72.271;72.968;76.616;78.879;80.256;80.486;81.800;82.091;81.810;81.874;81.369;85.122;86.667;88.769;92.554;94.567;100.000;103.514;102.834;98.405;104.018;108.660;110.319
12020;Athens-Clarke County, GA (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);5023266;5188364;5556870;5883157;6142175;6361262;6667109;6843550;6987725;7074349;7171105;7706415;8035296;8394566;8934140;9271989;9980018;10574802;10749088;10589278;11591639;12915359;13768348
12060;Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);271180503;273930846;282151814;298232221;313144329;318677886;322341537;313422430;298703209;304596013;311831237;318110620;327640035;342782600;360870172;380019119;398208502;413028711;429660232;416596291;444713055;461994504;471655708
12060;Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;68.100;68.791;70.855;74.893;78.638;80.028;80.948;78.708;75.012;76.492;78.309;79.885;82.279;86.081;90.623;95.432;100.000;103.722;107.898;104.618;111.678;116.018;118.444
12060;Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);207961566;213670229;222599318;240033201;257493308;269321900;278203375;273859407;266492431;272704693;282164694;293952861;307672780;327672584;351859761;376240169;398208502;420534764;446655157;438872169;483528782;534307899;570662834
12100;Atlantic City-Hammonton, NJ (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);14885170;15239133;15416388;15542545;16110806;16852467;16971731;17078265;14897257;14560848;14975251;14694547;14733142;14615733;14309767;13849789;13521560;13616155;13827163;13034081;14137139;14560232;15025707
12100;Atlantic City-Hammonton, NJ (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;110.085;112.702;114.013;114.946;119.149;124.634;125.516;126.304;110.174;107.686;110.751;108.675;108.960;108.092;105.829;102.427;100.000;100.700;102.260;96.395;104.553;107.682;111.124
12100;Atlantic City-Hammonton, NJ (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);10432718;10900289;11197028;11582682;12477462;13516327;14151124;14542444;12871933;12622393;13205923;13290570;13598441;13787773;13834962;13614567;13521560;13936714;14493724;13821698;15668696;17304483;18726628
12220;Auburn-Opelika, AL (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);3256353;3430182;3660500;4089762;4289459;4420730;4568392;4677780;4587437;4748620;5070856;5332385;5401609;5477228;5711665;5896125;6138724;6112260;6348943;6202804;6592171;6609805;6987631
12220;Auburn-Opelika, AL (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;53.046;55.878;59.630;66.622;69.875;72.014;74.419;76.201;74.729;77.355;82.604;86.865;87.992;89.224;93.043;96.048;100.000;99.569;103.424;101.044;107.387;107.674;113.829
12220;Auburn-Opelika, AL (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);2310987;2486428;2697720;3085179;3337503;3566440;3785544;3939502;3993168;4144170;4479081;4814202;4971512;5162758;5549989;5803297;6138724;6252206;6643673;6661911;7394950;7964355;8799349
12260;Augusta-Richmond County, GA-SC (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);21399692;21628057;22448135;22952008;23049619;22883115;23907158;24271899;23899925;24494517;24936987;24994909;25156519;25340152;26348411;26785863;27076189;27499759;28035704;27879994;28606409;28933655;29419901
12260;Augusta-Richmond County, GA-SC (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;79.035;79.879;82.907;84.768;85.129;84.514;88.296;89.643;88.269;90.465;92.099;92.313;92.910;93.588;97.312;98.928;100.000;101.564;103.544;102.969;105.652;106.860;108.656
12260;Augusta-Richmond County, GA-SC (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);15187466;15683161;16600935;17374455;17916148;18424291;19808180;20466702;20853493;21488914;22186341;22623210;23258579;24007531;25545468;26334413;27076189;28163772;29413304;29949917;32070695;34825920;37292712
12420;Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);64775419;66909341;69086367;72843668;78926656;88478898;92714867;96906811;94659326;100803949;105577832;107474279;113893813;120352049;129620142;135023020;141102903;149306992;159060569;163580778;181070457;198524436;207470114
12420;Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;45.907;47.419;48.962;51.625;55.936;62.705;65.707;68.678;67.085;71.440;74.823;76.167;80.717;85.294;91.862;95.691;100.000;105.814;112.727;115.930;128.325;140.695;147.035
12420;Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);55954642;58192134;60072775;64000811;70392031;79935950;84321727;88014944;86930422;92284423;97352465;100761664;108151305;115702814;126398461;133525260;141102903;151747891;164734090;172047499;196587978;227703434;248109564
12540;Bakersfield, CA (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);25755077;29012540;28711292;31081743;33134867;37563159;41176524;39972583;42593461;40698457;39989803;43796655;42835968;42916729;43391596;43552199;43812095;43894460;45410206;45610265;46383111;44626843;46941848
12540;Bakersfield, CA (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;58.785;66.220;65.533;70.943;75.629;85.737;93.984;91.236;97.218;92.893;91.276;99.965;97.772;97.956;99.040;99.407;100.000;100.188;103.648;104.104;105.868;101.860;107.144
12540;Bakersfield, CA (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);19531786;21670279;23539730;27159018;31596401;36986668;42631833;46265785;39684415;41785032;43954455;46508179;47098717;47459214;42329440;41404338;43812095;45646364;46755289;45790611;53155039;58421422;59846810
12580;Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);141753772;145493734;147934552;153324958;160635503;164034379;165116426;166658352;165598000;172392664;175490325;177705452;181180869;184038314;187802711;194266369;198332437;200409767;201619144;194807422;204812340;210176525;213539532
12580;Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;71.473;73.359;74.589;77.307;80.993;82.707;83.252;84.030;83.495;86.921;88.483;89.600;91.352;92.793;94.691;97.950;100.000;101.047;101.657;98.223;103.267;105.972;107.667
12580;Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);102643130;107829618;111800990;118973502;128399077;135412611;139845849;143607620;146212111;153048452;158031305;162981268;168806696;174791079;182271120;191569591;198332437;204559676;210146753;207278076;225065634;243871881;259690214
12620;Bangor, ME (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);6125830;6282204;6279604;6483475;6604003;6527838;6539558;6410783;6408282;6422680;6285492;6179716;6183491;6185770;6233187;6362602;6360893;6599941;6788914;6769592;7006232;7134198;7231746
12620;Bangor, ME (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;96.305;98.763;98.722;101.927;103.822;102.625;102.809;100.784;100.745;100.971;98.815;97.152;97.211;97.247;97.992;100.027;100.000;103.758;106.729;106.425;110.145;112.157;113.691
12620;Bangor, ME (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);4384482;4573719;4650227;4924093;5162705;5277859;5433305;5423282;5592798;5646281;5619682;5649918;5761115;5873603;6051528;6261517;6360893;6758301;7114254;7275744;7872400;8537540;9020616
12700;Barnstable Town, MA (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);12068270;12212676;12319567;12657355;12504581;11982139;12131221;12443307;11930910;12267317;12516366;12440227;12583445;12898189;13032722;13066543;12764776;13042121;13473915;12718672;13656288;14177792;14483670
12700;Barnstable Town, MA (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;94.544;95.675;96.512;99.158;97.962;93.869;95.037;97.482;93.467;96.103;98.054;97.457;98.579;101.045;102.099;102.364;100.000;102.173;105.555;99.639;106.984;111.070;113.466
12700;Barnstable Town, MA (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);8401512;8719937;8977684;9476355;9670372;9603953;10013283;10442259;10218941;10551912;10899246;11058887;11400834;11947200;12416079;12819955;12764776;13348266;14157930;13698531;15258290;16850556;18186673
12940;Baton Rouge, LA (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);36995526;39600617;41398699;45907461;50532555;49421828;45423886;44527989;44957936;47526991;52506871;52740256;52788751;57818180;57139825;55172075;52326375;55749428;54339247;50120974;51789395;53386569;54901246
12940;Baton Rouge, LA (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;70.701;75.680;79.116;87.733;96.572;94.449;86.809;85.097;85.918;90.828;100.345;100.791;100.884;110.495;109.199;105.438;100.000;106.542;103.847;95.785;98.974;102.026;104.921
12940;Baton Rouge, LA (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);24855538;26592449;29156047;33739867;40617271;41940068;39872717;39993299;40628175;43503228;50582175;52457693;52320955;57839563;57118944;53131673;52326375;58248716;57007426;52815978;57933871;64680976;68827180
12980;Battle Creek, MI (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);6016784;6122323;6221414;6382215;6532376;6592205;6634618;6435138;5942059;6115886;5948256;5929310;6088792;6143598;6321415;6457331;6450941;6467348;6451007;6350135;6861063;7135652;7197440
12980;Battle Creek, MI (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;93.270;94.906;96.442;98.935;101.262;102.190;102.847;99.755;92.112;94.806;92.208;91.914;94.386;95.236;97.992;100.099;100.000;100.254;100.001;98.437;106.358;110.614;111.572
12980;Battle Creek, MI (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);4659018;4837763;4942881;5116628;5310709;5407958;5539576;5460584;5321073;5451708;5328400;5453100;5680282;5841727;6204144;6419521;6450941;6543076;6663018;6696111;7272363;7897845;8543282
13020;Bay City, MI (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);3779129;3791818;3853026;3864398;3914666;3904194;3900477;3756802;3720962;3851794;3850376;3851226;3877616;3695801;3683175;3690810;3539706;3631822;3570704;3545561;3866722;3812494;3628109
13020;Bay City, MI (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;106.764;107.122;108.852;109.173;110.593;110.297;110.192;106.133;105.121;108.817;108.777;108.801;109.546;104.410;104.053;104.269;100.000;102.602;100.876;100.165;109.238;107.706;102.497
13020;Bay City, MI (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);2962191;2994143;3073421;3119027;3216798;3287048;3352449;3274873;3379701;3475053;3504489;3568106;3654429;3555284;3614247;3652716;3539706;3693350;3712104;3767689;4302686;4538542;4507259
13140;Beaumont-Port Arthur, TX (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);23048457;22028070;22576404;26923700;24233537;23879238;25941797;24983703;24707054;26802922;27305887;28728123;28753374;23642654;23371779;24007411;24454169;25657246;25456325;21896605;22255690;22263610;23715593
13140;Beaumont-Port Arthur, TX (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;94.252;90.079;92.321;110.099;99.098;97.649;106.083;102.165;101.034;109.605;111.661;117.477;117.581;96.681;95.574;98.173;100.000;104.920;104.098;89.541;91.010;91.042;96.980
13140;Beaumont-Port Arthur, TX (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);13735428;12830873;14005493;17652097;18030749;18852774;21340954;21010081;19635149;22669200;26235356;28677637;28013477;23224651;22872046;22768206;24454169;27639267;26543326;21539798;25029404;29605473;31114626
13220;Beckley, WV (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);3890822;3938449;3899975;4011369;4211501;4224429;4265869;4498715;4380414;4544241;4652377;4540738;4365452;4157792;4016084;3817823;3990112;4064980;4193870;3926473;4034004;4207525;4319891
13220;Beckley, WV (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;97.512;98.705;97.741;100.533;105.548;105.872;106.911;112.747;109.782;113.888;116.598;113.800;109.407;104.202;100.651;95.682;100.000;101.876;105.107;98.405;101.100;105.449;108.265
13220;Beckley, WV (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);2598056;2696841;2732673;2930987;3241043;3414361;3573821;3913448;3914026;4147622;4361643;4316696;4148275;3991700;3875194;3720827;3990112;4165865;4384537;4188924;4574161;5164198;5541536
13380;Bellingham, WA (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);8092167;8616255;8780833;8853719;10990017;9904637;10117804;9969854;10284103;10767357;9984816;9987094;9943259;10063857;10414824;11098634;11651236;12557637;13672902;14084817;14710172;14499419;15332005
13380;Bellingham, WA (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;69.453;73.951;75.364;75.990;94.325;85.009;86.839;85.569;88.266;92.414;85.697;85.717;85.341;86.376;89.388;95.257;100.000;107.779;117.352;120.887;126.254;124.445;131.591
13380;Bellingham, WA (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);5266241;5603281;5957051;6285252;8364680;7949536;8457718;8378595;8526697;9312644;9326570;9598047;9561665;9800140;10213259;10621273;11651236;13424805;14306280;13879356;17200062;21231134;21489731
13460;Bend, OR (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);4991186;5206048;5492119;5753101;6277325;6710818;6948586;6771878;6194650;5997751;6076144;6240002;6668778;7354973;7936358;8708469;9523750;9881699;10449613;10418735;11514740;11957286;12442840
13460;Bend, OR (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;52.408;54.664;57.668;60.408;65.912;70.464;72.961;71.105;65.044;62.977;63.800;65.520;70.023;77.228;83.332;91.439;100.000;103.758;109.722;109.397;120.906;125.552;130.651
